Linea_celular,Anti.miARNs,Recuento_Celular,Replicas.,Tiempo,Concentracion,Fluorescencia
HCT15,1,1,1,1,20,1821
HCT15,1,1,2,1,20,2531
HCT15,1,1,3,1,20,1550
HCT15,1,1,4,1,20,3112
HCT15,1,1,5,1,20,22540
HCT15,1,1,6,1,20,1515
HCT15,1,1,7,1,20,22812
HCT15,1,1,8,1,20,1902
HCT15,1,1,1,2,20,9649
HCT15,1,1,2,2,20,3787
HCT15,1,1,3,2,20,15648
HCT15,1,1,4,2,20,4052
HCT15,1,1,5,2,20,23085
HCT15,1,1,6,2,20,15240
HCT15,1,1,7,2,20,22946
HCT15,1,1,8,2,20,4799
HCT15,1,1,1,3,20,7770
HCT15,1,1,2,3,20,5760
HCT15,1,1,3,3,20,12298
HCT15,1,1,4,3,20,5462
HCT15,1,1,5,3,20,21097
HCT15,1,1,6,3,20,4679
HCT15,1,1,7,3,20,19449
HCT15,1,1,8,3,20,4714
HCT15,1,1,1,4,20,7485
HCT15,1,1,2,4,20,6476
HCT15,1,1,3,4,20,7478
HCT15,1,1,4,4,20,5319
HCT15,1,1,5,4,20,15995
HCT15,1,1,6,4,20,6231
HCT15,1,1,7,4,20,13519
HCT15,1,1,8,4,20,5548
HCT15,1,1,1,5,20,5954
HCT15,1,1,2,5,20,5115
HCT15,1,1,3,5,20,4804
HCT15,1,1,4,5,20,4331
HCT15,1,1,5,5,20,12617
HCT15,1,1,6,5,20,5980
HCT15,1,1,7,5,20,7450
HCT15,1,1,8,5,20,4996
HCT15,1,1,1,6,20,5731
HCT15,1,1,2,6,20,4741
HCT15,1,1,3,6,20,4697
HCT15,1,1,4,6,20,4450
HCT15,1,1,5,6,20,10773
HCT15,1,1,6,6,20,5747
HCT15,1,1,7,6,20,7004
HCT15,1,1,8,6,20,4763
HCT15,1,1,1,7,20,6449
HCT15,1,1,2,7,20,5051
HCT15,1,1,3,7,20,4921
HCT15,1,1,4,7,20,4653
HCT15,1,1,5,7,20,11723
HCT15,1,1,6,7,20,5934
