"Anti-miARNs","Recuento_Celular","Replicas ","Tiempo","Concentracion","Fluorescencia"
"1","1","1","1","20","1821"
"1","1","2","1","20","2531"
"1","1","3","1","20","1550"
"1","1","4","1","20","3112"
"1","1","5","1","20","22540"
"1","1","6","1","20","1515"
"1","1","7","1","20","22812"
"1","1","8","1","20","1902"
"1","1","1","2","20","9649"
"1","1","2","2","20","3787"
"1","1","3","2","20","15648"
"1","1","4","2","20","4052"
"1","1","5","2","20","23085"
"1","1","6","2","20","15240"
"1","1","7","2","20","22946"
"1","1","8","2","20","4799"
"1","1","1","3","20","7770"
"1","1","2","3","20","5760"
"1","1","3","3","20","12298"
"1","1","4","3","20","5462"
"1","1","5","3","20","21097"
"1","1","6","3","20","4679"
"1","1","7","3","20","19449"
"1","1","8","3","20","4714"
"1","1","1","4","20","7485"
"1","1","2","4","20","6476"
"1","1","3","4","20","7478"
"1","1","4","4","20","5319"
"1","1","5","4","20","15995"
"1","1","6","4","20","6231"
"1","1","7","4","20","13519"
"1","1","8","4","20","5548"
"1","1","1","5","20","5954"
"1","1","2","5","20","5115"
"1","1","3","5","20","4804"
"1","1","4","5","20","4331"
"1","1","5","5","20","12617"
"1","1","6","5","20","5980"
"1","1","7","5","20","7450"
"1","1","8","5","20","4996"
"1","1","1","6","20","5731"
"1","1","2","6","20","4741"
"1","1","3","6","20","4697"
"1","1","4","6","20","4450"
"1","1","5","6","20","10773"
"1","1","6","6","20","5747"
"1","1","7","6","20","7004"
"1","1","8","6","20","4763"
"1","1","1","7","20","6449"
"1","1","2","7","20","5051"
"1","1","3","7","20","4921"
"1","1","4","7","20","4653"
"1","1","5","7","20","11723"
"1","1","6","7","20","5934"
"1","1","7","7","20","7925"
"1","1","8","7","20","4813"
"1","0","1","1","20","12"
"1","0","2","1","20","22"
"1","0","3","1","20","11"
"1","0","4","1","20","20"
"1","0","5","1","20","46"
"1","0","6","1","20","80"
"1","0","7","1","20","79"
"1","0","8","1","20","68"
"1","0","1","2","20","124"
"1","0","2","2","20","79"
"1","0","3","2","20","140"
"1","0","4","2","20","139"
"1","0","5","2","20","106"
"1","0","6","2","20","123"
"1","0","7","2","20","81"
"1","0","8","2","20","121"
"1","0","1","3","20","360"
"1","0","2","3","20","230"
"1","0","3","3","20","378"
"1","0","4","3","20","358"
"1","0","5","3","20","341"
"1","0","6","3","20","413"
"1","0","7","3","20","317"
"1","0","8","3","20","445"
"1","0","1","4","20","593"
"1","0","2","4","20","498"
"1","0","3","4","20","697"
"1","0","4","4","20","696"
"1","0","5","4","20","572"
"1","0","6","4","20","745"
"1","0","7","4","20","606"
"1","0","8","4","20","769"
"1","0","1","5","20","794"
"1","0","2","5","20","750"
"1","0","3","5","20","882"
"1","0","4","5","20","1016"
"1","0","5","5","20","807"
"1","0","6","5","20","1034"
"1","0","7","5","20","759"
"1","0","8","5","20","1078"
"1","0","1","6","20","1082"
"1","0","2","6","20","1233"
"1","0","3","6","20","1174"
"1","0","4","6","20","1350"
"1","0","5","6","20","1023"
"1","0","6","6","20","1489"
"1","0","7","6","20","1094"
"1","0","8","6","20","1558"
"1","0","1","7","20","1270"
"1","0","2","7","20","1526"
"1","0","3","7","20","1590"
"1","0","4","7","20","1858"
"1","0","5","7","20","1146"
"1","0","6","7","20","1721"
"1","0","7","7","20","1270"
"1","0","8","7","20","1909"
"0","1","1","1","20","22448"
"0","1","2","1","20","23033"
"0","1","3","1","20","21801"
"0","1","4","1","20","20769"
"0","1","5","1","20","23416"
"0","1","6","1","20","23556"
