"Anti-miARNs","Recuento_Celular","Replicas ","Tiempo","Concentracion","Fluorescencia","","","","","","","","","","","","","",""
"1","1","1","1","20","3585","","","","","","","","","","","","","",""
"1","1","2","1","20","4519","","","","","","","","","","","","","",""
"1","1","3","1","20","2821","","","","","","","","","","","","","",""
"1","1","4","1","20","5045","","","","","","","","","","","","","",""
"1","1","5","1","20","3294","","","","","","","","","","","","","",""
"1","1","6","1","20","4492","","","","","","","","","","","","","",""
"1","1","7","1","20","2625","","","","","","","","","","","","","",""
"1","1","8","1","20","4167","","","","","","","","","","","","","",""
"1","1","1","2","20","4385","","","","","","","","","","","","","",""
"1","1","2","2","20","5239","","","","","","","","","","","","","",""
"1","1","3","2","20","3270","","","","","","","","","","","","","",""
"1","1","4","2","20","5708","","","","","","","","","","","","","",""
"1","1","5","2","20","3990","","","","","","","","","","","","","",""
"1","1","6","2","20","5156","","","","","","","","","","","","","",""
"1","1","7","2","20","3226","","","","","","","","","","","","","",""
"1","1","8","2","20","4946","","","","","","","","","","","","","",""
"1","1","1","3","20","5635","","","","","","","","","","","","","",""
"1","1","2","3","20","6618","","","","","","","","","","","","","",""
"1","1","3","3","20","4114","","","","","","","","","","","","","",""
"1","1","4","3","20","7171","","","","","","","","","","","","","",""
"1","1","5","3","20","4802","","","","","","","","","","","","","",""
"1","1","6","3","20","6645","","","","","","","","","","","","","",""
"1","1","7","3","20","3982","","","","","","","","","","","","","",""
"1","1","8","3","20","6253","","","","","","","","","","","","","",""
"1","1","1","4","20","5921","","","","","","","","","","","","","",""
"1","1","2","4","20","6656","","","","","","","","","","","","","",""
"1","1","3","4","20","4291","","","","","","","","","","","","","",""
"1","1","4","4","20","7364","","","","","","","","","","","","","",""
"1","1","5","4","20","4938","","","","","","","","","","","","","",""
"1","1","6","4","20","6881","","","","","","","","","","","","","",""
"1","1","7","4","20","4111","","","","","","","","","","","","","",""
"1","1","8","4","20","6634","","","","","","","","","","","","","",""
"1","1","1","5","20","5828","","","","","","","","","","","","","",""
"1","1","2","5","20","6161","","","","","","","","","","","","","",""
"1","1","3","5","20","4323","","","","","","","","","","","","","",""
"1","1","4","5","20","7058","","","","","","","","","","","","","",""
"1","1","5","5","20","4840","","","","","","","","","","","","","",""
"1","1","6","5","20","6646","","","","","","","","","","","","","",""
"1","1","7","5","20","4033","","","","","","","","","","","","","",""
"1","1","8","5","20","6206","","","","","","","","","","","","","",""
"1","1","1","6","20","5544","","","","","","","","","","","","","",""
"1","1","2","6","20","5351","","","","","","","","","","","","","",""
"1","1","3","6","20","4192","","","","","","","","","","","","","",""
"1","1","4","6","20","6525","","","","","","","","","","","","","",""
"1","1","5","6","20","4861","","","","","","","","","","","","","",""
"1","1","6","6","20","6402","","","","","","","","","","","","","",""
"1","1","7","6","20","4070","","","","","","","","","","","","","",""
"1","1","8","6","20","6245","","","","","","","","","","","","","",""
"1","1","1","7","20","5450","","","","","","","","","","","","","",""
"1","1","2","7","20","5096","","","","","","","","","","","","","",""
"1","1","3","7","20","4019","","","","","","","","","","","","","",""
"1","1","4","7","20","6306","","","","","","","","","","","","","",""
"1","1","5","7","20","4546","","","","","","","","","","","","","",""
"1","1","6","7","20","6219","","","","","","","","","","","","","",""
"1","1","7","7","20","3859","","","","","","","","","","","","","",""
"1","1","8","7","20","5723","","","","","","","","","","","","","",""
"1","0","1","1","20","13","","","","","","","","","","","","","",""
"1","0","2","1","20","10","","","","","","","","","","","","","",""
"1","0","3","1","20","10","","","","","","","","","","","","","",""
